Date of Booking,Date of Journey,Airline-Class,Departure Time,Arrival Time,Duration,Total Stops,Price
15/01/2023,16/01/2023,"Indigo 
6E- 864
ECONOMY","17:25
Delhi","19:40
Mumbai",02h 15m,non-stop,"7,319"
15/01/2023,16/01/2023,"Indigo 
6E-2084
ECONOMY","20:20
Delhi","22:35
Mumbai",02h 15m,non-stop,"7,319"
15/01/2023,16/01/2023,"Indigo 
6E-2114
ECONOMY","21:45
Delhi","00:00
Mumbai",02h 15m,non-stop,"7,319"
15/01/2023,16/01/2023,"Indigo 
6E-2138
ECONOMY","12:00
Delhi","14:20
Mumbai",02h 20m,non-stop,"7,319"
15/01/2023,16/01/2023,"Vistara 
UK-985
ECONOMY","19:45
Delhi","22:00
Mumbai",02h 15m,non-stop,"7,320"
15/01/2023,16/01/2023,"GO FIRST 
G8- 336
ECONOMY","14:35
Delhi","16:45
Mumbai",02h 10m,non-stop,"7,321"
15/01/2023,16/01/2023,"GO FIRST 
G8- 184
ECONOMY","11:05
Delhi","18:35
Mumbai",07h 30m,1-stop,"6,873"
15/01/2023,16/01/2023,"GO FIRST 
G8- 143
ECONOMY","07:40
Delhi","16:45
Mumbai",09h 05m,1-stop,"6,873"
15/01/2023,16/01/2023,"GO FIRST 
G8- 237
ECONOMY","12:45
Delhi","22:30
Mumbai",09h 45m,1-stop,"6,873"
15/01/2023,16/01/2023,"GO FIRST 
G8-2519
ECONOMY","20:40
Delhi","10:50
Mumbai",14h 10m,1-stop,"6,873"
15/01/2023,16/01/2023,"GO FIRST 
G8- 113
ECONOMY","05:45
Delhi","20:35
Mumbai",14h 50m,1-stop,"6,873"
15/01/2023,16/01/2023,"GO FIRST 
G8- 113
ECONOMY","05:45
Delhi","22:00
Mumbai",16h 15m,1-stop,"6,873"
15/01/2023,16/01/2023,"Air India 
AI-813
ECONOMY","08:00
Delhi","21:30
Mumbai",13h 30m,1-stop,"7,194"
15/01/2023,16/01/2023,"Air India 
AI-813
ECONOMY","08:00
Delhi","23:20
Mumbai",15h 20m,1-stop,"7,194"
15/01/2023,16/01/2023,"Air India 
AI-813
ECONOMY","08:00
Delhi","08:35
Mumbai",24h 35m,1-stop,"7,194"
15/01/2023,16/01/2023,"Air India 
AI-813
ECONOMY","08:00
Delhi","09:40
Mumbai",25h 40m,1-stop,"7,194"
15/01/2023,16/01/2023,"AirAsia 
I5-743
ECONOMY","04:55
Delhi","13:05
Mumbai",08h 10m,1-stop,"7,584"
15/01/2023,16/01/2023,"Indigo 
6E-2716
ECONOMY","02:00
Delhi","04:15
Mumbai",02h 15m,non-stop,"7,319"
15/01/2023,16/01/2023,"Indigo 
6E-5318
ECONOMY","16:25
Delhi","18:40
Mumbai",02h 15m,non-stop,"7,319"
15/01/2023,16/01/2023,"Indigo 
6E-2505
ECONOMY","11:00
Delhi","13:20
Mumbai",02h 20m,non-stop,"7,319"
15/01/2023,16/01/2023,"Indigo 
6E-2112
ECONOMY","04:45
Delhi","07:15
Mumbai",02h 30m,non-stop,"7,319"
15/01/2023,16/01/2023,"Air India 
AI-863
ECONOMY","14:00
Delhi","16:20
Mumbai",02h 20m,non-stop,"7,320"
15/01/2023,16/01/2023,"Air India 
AI-624
ECONOMY","19:00
Delhi","21:25
Mumbai",02h 25m,non-stop,"7,320"
15/01/2023,16/01/2023,"GO FIRST 
G8- 323
ECONOMY","17:55
Delhi","20:10
Mumbai",02h 15m,non-stop,"7,321"
15/01/2023,16/01/2023,"Vistara 
UK-627
ECONOMY","13:20
Delhi","14:05
Mumbai",24h 45m,1-stop,"8,055"
15/01/2023,16/01/2023,"Indigo 
6E-2075
ECONOMY","08:10
Delhi","10:05
Mumbai",01h 55m,non-stop,"7,844"
15/01/2023,16/01/2023,"Indigo 
6E-2016
ECONOMY","15:45
Delhi","18:00
Mumbai",02h 15m,non-stop,"7,844"
15/01/2023,16/01/2023,"Indigo 
6E-6814
ECONOMY","07:15
Delhi","09:40
Mumbai",02h 25m,non-stop,"7,844"
15/01/2023,16/01/2023,"Air India 
AI-813
ECONOMY","08:00
Delhi","11:30
Mumbai",27h 30m,1-stop,"7,940"
15/01/2023,16/01/2023,"GO FIRST 
G8-2501
ECONOMY","02:40
Delhi","04:50
Mumbai",02h 10m,non-stop,"8,055"
15/01/2023,16/01/2023,"GO FIRST 
G8- 334
ECONOMY","07:20
Delhi","09:30
Mumbai",02h 10m,non-stop,"8,055"
15/01/2023,16/01/2023,"Vistara 
UK-627
ECONOMY","13:20
Delhi","15:50
Mumbai",26h 30m,1-stop,"8,370"
15/01/2023,16/01/2023,"Indigo 
6E-2411
ECONOMY","06:55
Delhi","11:30
Mumbai",04h 35m,1-stop,"8,100"
15/01/2023,16/01/2023,"Indigo 
6E-2411
ECONOMY","06:55
Delhi","14:55
Mumbai",08h 00m,1-stop,"8,100"
15/01/2023,16/01/2023,"Indigo 
6E-2411
ECONOMY","06:55
Delhi","16:05
Mumbai",09h 10m,1-stop,"8,100"
15/01/2023,16/01/2023,"Vistara 
UK-811
ECONOMY","05:35
Delhi","21:40
Mumbai",16h 05m,1-stop,"8,491"
15/01/2023,16/01/2023,"Vistara 
UK-811
ECONOMY","05:35
Delhi","23:20
Mumbai",17h 45m,1-stop,"8,491"
15/01/2023,16/01/2023,"Vistara 
UK-635
ECONOMY","11:00
Delhi","14:05
Mumbai",27h 05m,1-stop,"8,580"
15/01/2023,16/01/2023,"Air India 
AI-504
ECONOMY","21:10
Delhi","08:35
Mumbai",11h 25m,1-stop,"8,297"
15/01/2023,16/01/2023,"Air India 
AI-504
ECONOMY","21:10
Delhi","09:40
Mumbai",12h 30m,1-stop,"8,297"
15/01/2023,16/01/2023,"Indigo 
6E-5218
ECONOMY","06:30
Delhi","08:45
Mumbai",02h 15m,non-stop,"8,579"
15/01/2023,16/01/2023,"Indigo 
6E-2328
ECONOMY","10:00
Delhi","12:35
Mumbai",02h 35m,non-stop,"8,894"
15/01/2023,16/01/2023,"Indigo 
6E-2025
ECONOMY","06:10
Delhi","12:20
Mumbai",06h 10m,1-stop,"8,999"
15/01/2023,16/01/2023,"Vistara 
UK-807
ECONOMY","20:40
Delhi","08:20
Mumbai",11h 40m,1-stop,"9,331"
15/01/2023,16/01/2023,"Vistara 
UK-809
ECONOMY","19:55
Delhi","08:20
Mumbai",12h 25m,1-stop,"9,331"
15/01/2023,16/01/2023,"AkasaAir 
QP-1128
ECONOMY","16:10
Delhi","18:20
Mumbai",02h 10m,non-stop,"9,040"
15/01/2023,16/01/2023,"Air India 
AI-504
ECONOMY","21:10
Delhi","11:30
Mumbai",14h 20m,1-stop,"9,042"
15/01/2023,16/01/2023,"Air India 
AI-815
ECONOMY","15:35
Delhi","21:30
Mumbai",05h 55m,1-stop,"9,137"
15/01/2023,16/01/2023,"Air India 
AI-807
ECONOMY","16:55
Delhi","23:20
Mumbai",06h 25m,1-stop,"9,137"
15/01/2023,16/01/2023,"Vistara 
UK-811
ECONOMY","05:35
Delhi","20:15
Mumbai",14h 40m,1-stop,"9,593"
15/01/2023,16/01/2023,"Air India 
AI-883
ECONOMY","22:00
Delhi","00:20
Mumbai",26h 20m,1-stop,"9,349"
15/01/2023,16/01/2023,"Indigo 
6E-2526
ECONOMY","08:45
Delhi","11:10
Mumbai",02h 25m,non-stop,"9,419"
15/01/2023,16/01/2023,"Air India 
AI-443
ECONOMY","04:45
Delhi","09:50
Mumbai",05h 05m,1-stop,"9,566"
15/01/2023,16/01/2023,"Vistara 
UK-981
ECONOMY","21:40
Delhi","23:40
Mumbai",02h 00m,non-stop,"10,155"
15/01/2023,16/01/2023,"Vistara 
UK-977
ECONOMY","19:00
Delhi","21:15
Mumbai",02h 15m,non-stop,"10,155"
15/01/2023,16/01/2023,"Vistara 
UK-957
ECONOMY","20:40
Delhi","22:55
Mumbai",02h 15m,non-stop,"10,155"
15/01/2023,16/01/2023,"Air India 
AI-471
ECONOMY","13:15
Delhi","18:05
Mumbai",04h 50m,1-stop,"9,840"
15/01/2023,16/01/2023,"GO FIRST 
G8- 119
ECONOMY","20:10
Delhi","09:40
Mumbai",13h 30m,1-stop,"10,210"
15/01/2023,16/01/2023,"SpiceJet 
SG-8701
ECONOMY","06:45
Delhi","09:00
Mumbai",02h 15m,non-stop,"10,573"
15/01/2023,16/01/2023,"Vistara 
UK-635
ECONOMY","11:00
Delhi","15:50
Mumbai",04h 50m,1-stop,"10,575"
15/01/2023,16/01/2023,"Air India 
AI-558
ECONOMY","19:40
Delhi","08:10
Mumbai",12h 30m,1-stop,"10,281"
15/01/2023,16/01/2023,"AirAsia 
I5-745
ECONOMY","13:15
Delhi","04:00
Mumbai",14h 45m,2+-stop,"10,882"
15/01/2023,16/01/2023,"Air India 
AI-883
ECONOMY","22:00
Delhi","08:10
Mumbai",10h 10m,1-stop,"10,714"
15/01/2023,16/01/2023,"Air India 
AI-811
ECONOMY","18:40
Delhi","16:25
Mumbai",21h 45m,1-stop,"10,785"
15/01/2023,16/01/2023,"Air India 
AI-537
ECONOMY","16:10
Delhi","23:40
Mumbai",07h 30m,1-stop,"10,995"
15/01/2023,16/01/2023,"Air India 
AI-554
ECONOMY","11:50
Delhi","23:40
Mumbai",11h 50m,1-stop,"10,995"
15/01/2023,16/01/2023,"Vistara 
UK-855
ECONOMY","18:40
Delhi","14:45
Mumbai",20h 05m,1-stop,"11,415"
15/01/2023,16/01/2023,"Air India 
AI-439
ECONOMY","05:45
Delhi","17:20
Mumbai",11h 35m,1-stop,"11,121"
15/01/2023,16/01/2023,"Air India 
AI-485
ECONOMY","05:30
Delhi","16:25
Mumbai",10h 55m,1-stop,"12,360"
15/01/2023,16/01/2023,"Air India 
AI-544
ECONOMY","16:50
Delhi","00:05
Mumbai",07h 15m,1-stop,"11,205"
15/01/2023,16/01/2023,"Air India 
AI-415
ECONOMY","16:45
Delhi","17:15
Mumbai",24h 30m,1-stop,"12,286"
15/01/2023,16/01/2023,"Vistara 
UK-933
ECONOMY","15:30
Delhi","17:35
Mumbai",02h 05m,non-stop,"11,730"
15/01/2023,16/01/2023,"Vistara 
UK-941
ECONOMY","16:35
Delhi","19:05
Mumbai",02h 30m,non-stop,"11,730"
15/01/2023,16/01/2023,"Indigo 
6E-5345
ECONOMY","05:10
Delhi","14:15
Mumbai",09h 05m,1-stop,"11,500"
15/01/2023,16/01/2023,"GO FIRST 
G8- 194
ECONOMY","21:30
Delhi","08:00
Mumbai",10h 30m,1-stop,"11,546"
15/01/2023,16/01/2023,"GO FIRST 
G8- 286
ECONOMY","10:45
Delhi","01:20
Mumbai",14h 35m,1-stop,"11,546"
15/01/2023,16/01/2023,"Air India 
AI-885
ECONOMY","10:55
Delhi","00:20
Mumbai",13h 25m,1-stop,"11,625"
15/01/2023,16/01/2023,"Air India 
AI-537
ECONOMY","16:10
Delhi","22:15
Mumbai",06h 05m,1-stop,"11,646"
15/01/2023,16/01/2023,"Air India 
AI-554
ECONOMY","11:50
Delhi","22:15
Mumbai",10h 25m,1-stop,"11,646"
15/01/2023,16/01/2023,"Air India 
AI-540
ECONOMY","20:40
Delhi","08:10
Mumbai",11h 30m,1-stop,"11,646"
15/01/2023,16/01/2023,"Air India 
AI-429
ECONOMY","09:45
Delhi","22:15
Mumbai",12h 30m,1-stop,"11,646"
15/01/2023,16/01/2023,"AirAsia 
I5-745
ECONOMY","13:15
Delhi","02:20
Mumbai",13h 05m,2+-stop,"12,040"
15/01/2023,16/01/2023,"Air India 
AI-887
ECONOMY","07:00
Delhi","09:15
Mumbai",02h 15m,non-stop,"11,730"
15/01/2023,16/01/2023,"Air India 
AI-451
ECONOMY","14:40
Delhi","16:25
Mumbai",25h 45m,1-stop,"11,856"
15/01/2023,16/01/2023,"Vistara 
UK-855
ECONOMY","18:40
Delhi","00:15
Mumbai",05h 35m,1-stop,"12,255"
15/01/2023,16/01/2023,"Air India 
AI-883
ECONOMY","22:00
Delhi","16:50
Mumbai",18h 50m,1-stop,"11,974"
15/01/2023,16/01/2023,"Vistara 
UK-833
ECONOMY","07:40
Delhi","14:30
Mumbai",06h 50m,1-stop,"12,293"
15/01/2023,16/01/2023,"Indigo 
6E-6822
ECONOMY","14:30
Delhi","23:10
Mumbai",08h 40m,1-stop,"11,992"
15/01/2023,16/01/2023,"Air India 
AI-839
ECONOMY","21:30
Delhi","09:55
Mumbai",12h 25m,1-stop,"12,045"
15/01/2023,16/01/2023,"Air India 
AI-544
ECONOMY","16:50
Delhi","09:55
Mumbai",17h 05m,1-stop,"12,045"
15/01/2023,16/01/2023,"Vistara 
UK-817
ECONOMY","16:05
Delhi","21:40
Mumbai",05h 35m,1-stop,"12,481"
15/01/2023,16/01/2023,"Indigo 
6E-2033
ECONOMY","23:40
Delhi","05:50
Mumbai",06h 10m,1-stop,"12,274"
15/01/2023,16/01/2023,"Air India 
AI-429
ECONOMY","09:45
Delhi","17:20
Mumbai",07h 35m,1-stop,"12,486"
15/01/2023,16/01/2023,"GO FIRST 
G8- 286
ECONOMY","10:45
Delhi","19:30
Mumbai",08h 45m,1-stop,"12,596"
15/01/2023,16/01/2023,"Air India 
AI-839
ECONOMY","21:30
Delhi","14:55
Mumbai",17h 25m,1-stop,"12,675"
15/01/2023,16/01/2023,"Air India 
AI-544
ECONOMY","16:50
Delhi","14:55
Mumbai",22h 05m,1-stop,"12,675"
15/01/2023,16/01/2023,"Air India 
AI-885
ECONOMY","10:55
Delhi","16:50
Mumbai",05h 55m,1-stop,"12,990"
15/01/2023,16/01/2023,"Air India 
AI-885
ECONOMY","10:55
Delhi","08:10
Mumbai",21h 15m,1-stop,"12,990"
15/01/2023,16/01/2023,"Vistara 
UK-829
ECONOMY","07:20
Delhi","16:55
Mumbai",09h 35m,1-stop,"13,409"
15/01/2023,16/01/2023,"Indigo 
6E-2216
ECONOMY","09:25
Delhi","17:50
Mumbai",08h 25m,1-stop,"13,199"
15/01/2023,16/01/2023,"GO FIRST 
G8- 286
ECONOMY","10:45
Delhi","18:25
Mumbai",07h 40m,1-stop,"13,332"
15/01/2023,16/01/2023,"Indigo 
6E- 607
ECONOMY","22:00
Delhi","05:50
Mumbai",07h 50m,1-stop,"13,499"
15/01/2023,16/01/2023,"Vistara 
UK-943
ECONOMY","07:30
Delhi","09:40
Mumbai",02h 10m,non-stop,"13,830"
15/01/2023,16/01/2023,"Vistara 
UK-993
ECONOMY","12:50
Delhi","15:00
Mumbai",02h 10m,non-stop,"13,830"
15/01/2023,16/01/2023,"Vistara 
UK-955
ECONOMY","17:45
Delhi","19:55
Mumbai",02h 10m,non-stop,"13,830"
15/01/2023,16/01/2023,"Vistara 
UK-945
ECONOMY","11:40
Delhi","13:55
Mumbai",02h 15m,non-stop,"13,830"
15/01/2023,16/01/2023,"Vistara 
UK-963
ECONOMY","08:50
Delhi","11:10
Mumbai",02h 20m,non-stop,"13,830"
15/01/2023,16/01/2023,"Vistara 
UK-673
ECONOMY","13:20
Delhi","18:30
Mumbai",05h 10m,1-stop,"13,830"
15/01/2023,16/01/2023,"Vistara 
UK-879
ECONOMY","17:35
Delhi","08:15
Mumbai",14h 40m,1-stop,"13,935"
15/01/2023,16/01/2023,"Vistara 
UK-781
ECONOMY","17:50
Delhi","11:05
Mumbai",17h 15m,1-stop,"13,935"
15/01/2023,16/01/2023,"Vistara 
UK-811
ECONOMY","05:35
Delhi","11:25
Mumbai",05h 50m,1-stop,"14,145"
15/01/2023,16/01/2023,"Vistara 
UK-859
ECONOMY","10:30
Delhi","16:55
Mumbai",06h 25m,1-stop,"14,249"
15/01/2023,16/01/2023,"Indigo 
6E- 153
ECONOMY","20:20
Delhi","05:50
Mumbai",09h 30m,1-stop,"14,039"
15/01/2023,16/01/2023,"Indigo 
6E- 319
ECONOMY","15:10
Delhi","21:25
Mumbai",06h 15m,1-stop,"14,197"
15/01/2023,16/01/2023,"Indigo 
6E-5615
ECONOMY","11:25
Delhi","21:25
Mumbai",10h 00m,1-stop,"14,197"
15/01/2023,16/01/2023,"Air India 
AI-453
ECONOMY","05:00
Delhi","17:55
Mumbai",12h 55m,1-stop,"14,315"
15/01/2023,16/01/2023,"Indigo 
6E- 123
ECONOMY","16:55
Delhi","21:25
Mumbai",04h 30m,1-stop,"14,407"
15/01/2023,16/01/2023,"Vistara 
UK-813
ECONOMY","17:30
Delhi","23:20
Mumbai",05h 50m,1-stop,"15,106"
15/01/2023,16/01/2023,"Vistara 
UK-879
ECONOMY","17:35
Delhi","23:10
Mumbai",05h 35m,1-stop,"15,195"
15/01/2023,16/01/2023,"Air India 
AI-473
ECONOMY","18:40
Delhi","11:55
Mumbai",17h 15m,1-stop,"16,770"
15/01/2023,16/01/2023,"Indigo 
6E-5603
ECONOMY","15:20
Delhi","20:10
Mumbai",04h 50m,1-stop,"15,299"
15/01/2023,16/01/2023,"Vistara 
UK-833
ECONOMY","07:40
Delhi","22:30
Mumbai",14h 50m,1-stop,"15,846"
15/01/2023,16/01/2023,"Vistara 
UK-927
ECONOMY","09:30
Delhi","11:35
Mumbai",02h 05m,non-stop,"15,930"
15/01/2023,16/01/2023,"Vistara 
UK-859
ECONOMY","10:30
Delhi","23:10
Mumbai",12h 40m,1-stop,"16,035"
15/01/2023,16/01/2023,"Vistara 
UK-929
ECONOMY","21:20
Delhi","06:15
Mumbai",08h 55m,1-stop,"16,067"
15/01/2023,16/01/2023,"Air India 
AI-665
ECONOMY","08:00
Delhi","10:20
Mumbai",02h 20m,non-stop,"15,930"
15/01/2023,16/01/2023,"Vistara 
UK-829
ECONOMY","07:20
Delhi","14:35
Mumbai",07h 15m,1-stop,"16,245"
15/01/2023,16/01/2023,"GO FIRST 
G8- 101
ECONOMY","05:50
Delhi","19:35
Mumbai",13h 45m,1-stop,"16,607"
15/01/2023,16/01/2023,"Indigo 
6E-6231
ECONOMY","05:15
Delhi","09:45
Mumbai",04h 30m,1-stop,"16,297"
15/01/2023,16/01/2023,"GO FIRST 
G8- 713
ECONOMY","22:00
Delhi","10:15
Mumbai",12h 15m,1-stop,"16,347"
15/01/2023,16/01/2023,"Air India 
AI-801
ECONOMY","15:05
Delhi","22:55
Mumbai",07h 50m,1-stop,"17,295"
15/01/2023,16/01/2023,"Indigo 
6E-2033
ECONOMY","23:40
Delhi","07:55
Mumbai",08h 15m,1-stop,"17,075"
15/01/2023,16/01/2023,"Vistara 
UK-839
ECONOMY","13:40
Delhi","22:30
Mumbai",08h 50m,1-stop,"17,421"
15/01/2023,16/01/2023,"GO FIRST 
G8- 719
ECONOMY","06:00
Delhi","16:15
Mumbai",10h 15m,1-stop,"17,612"
15/01/2023,16/01/2023,"Air India 
AI-833
ECONOMY","04:55
Delhi","22:25
Mumbai",17h 30m,1-stop,"19,293"
15/01/2023,16/01/2023,"AirAsia 
I5-711
ECONOMY","05:45
Delhi","21:00
Mumbai",15h 15m,2+-stop,"18,211"
15/01/2023,16/01/2023,"Indigo 
6E- 607
ECONOMY","22:00
Delhi","07:55
Mumbai",09h 55m,1-stop,"18,300"
15/01/2023,16/01/2023,"Vistara 
UK-747
ECONOMY","06:30
Delhi","20:20
Mumbai",13h 50m,1-stop,"18,765"
15/01/2023,16/01/2023,"Vistara 
UK-819
ECONOMY","14:10
Delhi","20:15
Mumbai",06h 05m,1-stop,"18,833"
15/01/2023,16/01/2023,"Vistara 
UK-819
ECONOMY","14:10
Delhi","20:40
Mumbai",06h 30m,1-stop,"18,833"
15/01/2023,16/01/2023,"GO FIRST 
G8- 719
ECONOMY","06:00
Delhi","10:15
Mumbai",04h 15m,1-stop,"18,611"
15/01/2023,16/01/2023,"Vistara 
UK-951
ECONOMY","14:20
Delhi","16:30
Mumbai",02h 10m,non-stop,"19,080"
15/01/2023,16/01/2023,"Vistara 
UK-747
ECONOMY","06:30
Delhi","13:00
Mumbai",06h 30m,1-stop,"19,185"
15/01/2023,16/01/2023,"Vistara 
UK-929
ECONOMY","21:20
Delhi","18:45
Mumbai",21h 25m,1-stop,"19,217"
15/01/2023,16/01/2023,"Indigo 
6E-6034
ECONOMY","05:00
Delhi","10:05
Mumbai",05h 05m,1-stop,"19,720"
15/01/2023,16/01/2023,"Indigo 
6E-6034
ECONOMY","05:00
Delhi","10:55
Mumbai",05h 55m,1-stop,"19,720"
15/01/2023,16/01/2023,"GO FIRST 
G8- 717
ECONOMY","17:30
Delhi","22:30
Mumbai",05h 00m,1-stop,"19,740"
15/01/2023,16/01/2023,"Indigo 
6E-2204
ECONOMY","13:00
Delhi","23:00
Mumbai",10h 00m,1-stop,"19,867"
15/01/2023,16/01/2023,"Indigo 
6E-2204
ECONOMY","13:00
Delhi","19:55
Mumbai",06h 55m,1-stop,"20,182"
15/01/2023,16/01/2023,"Vistara 
UK-835
ECONOMY","20:10
Delhi","09:00
Mumbai",12h 50m,1-stop,"21,075"
15/01/2023,16/01/2023,"GO FIRST 
G8- 717
ECONOMY","17:30
Delhi","21:25
Mumbai",03h 55m,1-stop,"21,340"
15/01/2023,16/01/2023,"Indigo 
6E-6201
ECONOMY","18:40
Delhi","23:35
Mumbai",04h 55m,1-stop,"21,400"
15/01/2023,16/01/2023,"Vistara 
UK-899
ECONOMY","14:45
Delhi","23:10
Mumbai",08h 25m,1-stop,"22,398"
15/01/2023,16/01/2023,"Vistara 
UK-929
ECONOMY","21:20
Delhi","09:40
Mumbai",12h 20m,1-stop,"22,789"
15/01/2023,16/01/2023,"Vistara 
UK-959
ECONOMY","06:30
Delhi","18:45
Mumbai",12h 15m,1-stop,"22,892"
15/01/2023,16/01/2023,"Vistara 
UK-969
ECONOMY","18:00
Delhi","06:15
Mumbai",12h 15m,1-stop,"22,892"
15/01/2023,16/01/2023,"Vistara 
UK-969
ECONOMY","18:00
Delhi","09:40
Mumbai",15h 40m,1-stop,"22,892"
15/01/2023,16/01/2023,"Vistara 
UK-969
ECONOMY","18:00
Delhi","18:45
Mumbai",24h 45m,1-stop,"22,892"
15/01/2023,16/01/2023,"Indigo 
6E-6475
ECONOMY","06:20
Delhi","10:55
Mumbai",04h 35m,1-stop,"22,870"
15/01/2023,16/01/2023,"Indigo 
6E-6475
ECONOMY","06:20
Delhi","16:10
Mumbai",09h 50m,1-stop,"22,870"
15/01/2023,16/01/2023,"Vistara 
UK-737
ECONOMY","15:45
Delhi","23:30
Mumbai",07h 45m,1-stop,"23,700"
15/01/2023,16/01/2023,"Indigo 
6E-7403
ECONOMY","07:45
Delhi","14:15
Mumbai",06h 30m,1-stop,"23,542"
15/01/2023,16/01/2023,"Vistara 
UK-871
ECONOMY","20:40
Delhi","08:15
Mumbai",11h 35m,1-stop,"24,288"
15/01/2023,16/01/2023,"Vistara 
UK-979
ECONOMY","13:25
Delhi","18:45
Mumbai",05h 20m,1-stop,"27,480"
15/01/2023,16/01/2023,"Air India 
AI-865
ECONOMY","10:00
Delhi","12:25
Mumbai",02h 25m,non-stop,"27,344"
15/01/2023,16/01/2023,"Indigo 
6E-6492
ECONOMY","13:20
Delhi","18:40
Mumbai",05h 20m,1-stop,"28,500"
15/01/2023,16/01/2023,"Indigo 
6E- 184
ECONOMY","09:40
Delhi","16:10
Mumbai",06h 30m,1-stop,"28,500"
15/01/2023,16/01/2023,"Indigo 
6E-6492
ECONOMY","13:20
Delhi","20:00
Mumbai",06h 40m,1-stop,"28,500"
15/01/2023,16/01/2023,"Indigo 
6E- 184
ECONOMY","09:40
Delhi","18:40
Mumbai",09h 00m,1-stop,"28,500"
15/01/2023,16/01/2023,"Vistara 
UK-627
PREMIUMECONOMY","13:20
Delhi","14:05
Mumbai",24h 45m,1-stop,"10,526"
15/01/2023,16/01/2023,"Vistara 
UK-627
PREMIUMECONOMY","13:20
Delhi","15:50
Mumbai",26h 30m,1-stop,"10,526"
15/01/2023,16/01/2023,"Vistara 
UK-635
PREMIUMECONOMY","11:00
Delhi","14:05
Mumbai",27h 05m,1-stop,"10,526"
